SK_ID_CURR,TARGET
100001,0.0653834561951086
100005,0.11735445084545865
100013,0.06797374198253936
100028,0.0708893955366749
100038,0.1179876780995935
100042,0.053721520598990324
100057,0.08070781426151824
100065,0.1002600948484822
100066,0.04875168322182431
100067,0.08509521292853418
100074,0.06399113162423123
100090,0.10860775403993464
100091,0.10531639574925312
100092,0.09208987883980996
100106,0.11931978686659646
100107,0.0917573810079671
100109,0.0940865380249162
100117,0.0738952602083009
100128,0.06691234604607897
100141,0.09065906442089122
100150,0.07188045210270987
100168,0.05356101160125394
100169,0.03988424920809963
100170,0.08106120843143973
100171,0.09630558611214579
100172,0.11683916633667187
100184,0.06842716767913704
100187,0.0582680447703698
100212,0.07567115880996401
100222,0.08720514679013408
100223,0.056275319294051655
100232,0.06529671452464914
100241,0.1250455758212543
100245,0.06936569039266464
100253,0.05760653924329143
100256,0.09281719073628444
100271,0.05367981565531572
100278,0.10937135510619972
100280,0.06380999979188866
100306,0.1311446875243133
100311,0.10272126850062518
100312,0.05721537317584553
100330,0.07952137687412417
100331,0.0901074567167175
100352,0.08112772705593685
100358,0.098195648057561
100367,0.0833051606514682
100382,0.07649510232572784
100384,0.07068655037874702
100385,0.0907620143931782
100386,0.07497290103959456
100399,0.06471885555086396
100404,0.06747641279555149
100416,0.06061555957430175
100422,0.12108001691222259
100426,0.07594774869103146
100438,0.06635715610006832
100444,0.09565280072100041
100445,0.11092187718449974
100446,0.09691346401321171
100447,0.06060515255416424
100450,0.06718961564477635
100466,0.0787035249590796
100483,0.06708286239571591
100484,0.049687546913289145
100494,0.08299903498055905
100510,0.10772835963443916
100512,0.05627539275023233
100517,0.06933346548400703
100548,0.0521740372573783
100551,0.06642636888213584
100552,0.11711280285510899
100553,0.07933755260857539
100561,0.08971554569846117
100568,0.12545692061256636
100569,0.06026550565537978
100591,0.08909233352535763
100592,0.04968921067304382
100602,0.0873820028436641
100607,0.08065158243121436
100613,0.07563958158632302
100617,0.06670384629745393
100618,0.0921475212076898
100622,0.13933505807853686
100625,0.0934831409681997
100677,0.08163284309937507
100699,0.07816059238445969
100702,0.13325292633829766
100711,0.06611711261341816
100729,0.12745929129910585
100740,0.1080353466235456
100744,0.10124540474998732
100745,0.09305244807855508
100747,0.09660801331429138
100751,0.09963307845062076
100752,0.07786182389081557
100753,0.1331282990768062
100754,0.09733652169458382
100760,0.0951952064802707
100762,0.08626018674930086
100763,0.07693677484734353
100765,0.07523684309442338
100770,0.08957979032471733
100772,0.07562834226220994
100777,0.07987136987148012
100791,0.0665958433004663
100792,0.06281795135178277
100797,0.0863942220201839
100823,0.09147506528755876
100826,0.09172254887856131
100830,0.060858262954030434
100836,0.11220415367389018
100872,0.08224056560971357
100910,0.08637073061067539
100913,0.05968845555074004
100918,0.08446834290164332
100931,0.055616757836997155
100952,0.10700738353773998
100953,0.07162645817110702
100965,0.09631421639429301
100970,0.0732096041243418
100982,0.10486051783184042
100983,0.08336008941831491
100984,0.06647387309986197
100987,0.10707649631925938
100997,0.07705751592170682
100998,0.11660467212318197
101002,0.09374157950448757
101005,0.12264101000060001
101008,0.11590595811513431
101020,0.09627678905768267
101021,0.09292482389051773
101024,0.07628748785493979
